Bun dau mam tom|35000|Do an|Quan Bun dau met,Bac Tu Liem,HN|4.5
Pho bo sot vang|70000|Do an|Quan PHO REAL,Ba Dinh,HN|4.7
Tra sua FA|30000|Do uong|Quán FA Tea,Nam Tu Liem,HN|4
Com tro sua bo|35000|Do an|Quán May dap Dien Bien,Dien Bien,HN|4.4
Hoa cai xao ma tau|46000|Do an|Hai Phong quan,Dong Da,HN|4.5
Sung te giac chien xu|500000|Ðo an|Quan cua Tình,Ha Nam,HN|5.5
Cafe Cho|50000|Do uong|CAFE Meo,Nguyen Xa,HN|4.1
Cay to 8 mon|300000|Do an|Quan Thuan uy tin,Ngu Kien,HN|5
Matcha sua da|30000|Do uong|Tra chanh bui pho,My Ðinh,HN|4.4
Com rang dua bo|35000|Do an|Quan gan cong lang NXa,Bac Tu Liem,HN|4.7
